DECISION,Acronym,What it stands for,Why we suggested that,Group,User typed the acronym,Used in a longer search,User typed the long name,First searched,Times in documents,Times in titles,In UNTERM,UNTERM says,Agrees with us,UNTERM link,Anything to watch out for,Rule to paste into documents.sr
Maybe,undp,united nations development programme,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,No,2024-01-30,2221,2,Yes,United Nations Development Programme,Matches,https://unterm.un.org/unterm2/en/view/fa6e6eac-90d4-4eb3-8791-20fee46bf38d,competing: united nations development programme (1696); united nations development program (479); united nation development programme (46),"undp +> ?""united nations development programme"";"
Maybe,gcf,green climate fund,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-11-03,1934,,Yes,Global Conservation Fund,Ambiguous,https://unterm.un.org/unterm2/en/view/de4d12d7-5f93-4b05-9605-337499ee0d85,competing: green climate fund (1794); green climate fund s (140),"gcf +> ?""green climate fund"";"
Maybe,epa,environmental protection agency,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2024-02-22,1929,,Yes,Egyptian Publishers Association,Ambiguous,https://unterm.un.org/unterm2/en/view/f937907d-ff65-401c-a765-b03d23c8fa39,competing: environmental protection agency (1838); environmental protection agency s (32); environmental protection authority (30),"epa +> ?""environmental protection agency"";"
Maybe,fao,food agriculture organization,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2024-02-21,1826,4,Yes,Food and Agriculture Organization of the United Nations,Close,https://unterm.un.org/unterm2/en/view/ce48288c-581b-4c82-80c9-2077cf868e9f,competing: food agriculture organization (1552); food agriculture organisation (197); food agricultural organization (45),"fao +> ?""food agriculture organization"";"
Maybe,nap,national adaptation plan,"users type it, but it is also the everyday word ""nap""",2 - Clash or unclear,Yes,Yes,Yes,2023-09-19,1735,22,Yes,national AIDS programme,Ambiguous,https://unterm.un.org/unterm2/en/view/e9895338-3bea-4f13-840b-89cd86421749,Also an everyday English word. competing: national adaptation plan (1424); national climate change adaptation plan (113); national action plan (90),"nap +> ?""national adaptation plan"";"
Maybe,lpg,liquefied petroleum gas,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2024-08-21,1347,,Yes,liquefied petroleum gases,Ambiguous,https://unterm.un.org/unterm2/en/view/5cc1bc46-5c38-4762-9b87-4ac86fc7887a,competing: liquefied petroleum gas (611); liquefied petroleum gases (482); liquid petroleum gas (182),"lpg +> ?""liquefied petroleum gas"";"
Maybe,unep,united nations environment programme,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2025-05-13,1295,2,Yes,United Nations Environment Programme,Matches,https://unterm.un.org/unterm2/en/view/31d307cf-7bda-47b7-861f-463fdfaff599,competing: united nations environment programme (1139); united nations environment program (156),"unep +> ?""united nations environment programme"";"
Maybe,eia,energy information administration,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,No,2023-11-28,1178,1,Yes,environmental impact assessment,Ambiguous,https://unterm.un.org/unterm2/en/view/5ef7e648-d695-4ca5-9919-bb4d95133739,competing: energy information administration (670); environmental impact assessment (460); environmental impact assessments (26),"eia +> ?""energy information administration"";"
Maybe,nbsap,national biodiversity strategy action plan,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-09-14,1129,10,Yes,national biodiversity strategy and action plan,Matches,https://unterm.un.org/unterm2/en/view/56a2a208-4633-47d1-ba40-1b2d118ab590,competing: national biodiversity strategy action plan (1063); national biodiversity strategies action plan (66),"nbsap +> ?""national biodiversity strategy action plan"";"
Maybe,sids,small island developing states,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2024-04-24,681,6,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/202a9bfb-5953-4ea6-9040-9e4a225a1d77,"The dictionary also has ""sid"" - check it is not a word people type. political grouping in ISO data","sids +> ?""small island developing states"";"
Maybe,napa,national adaptation programme action,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-09-28,675,46,Yes,national adaptation programme of action,Matches,https://unterm.un.org/unterm2/en/view/ef401675-051d-4731-a441-7338980035ec,"The dictionary also has ""napa"" - check it is not a word people type. competing: national adaptation programme action (463); national action plan adaptation (60); national adaptation plan action (57)","napa +> ?""national adaptation programme action"";"
Maybe,idb,inter american development bank,"users type it, but see the warning column",2 - Clash or unclear,Yes,No,Yes,2025-06-30,609,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/d0e3f3a4-dca0-46cf-88ff-17b297a6db48,competing: inter american development bank (576); inter american developme nt bank (33),"idb +> ?""inter american development bank"";"
Maybe,wmo,world meteorological organization,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2024-11-21,609,,Yes,World Meteorological Organization,Matches,https://unterm.un.org/unterm2/en/view/8fbbe17f-3af1-423a-938e-90376bf8644a,competing: world meteorological organization (553); world meteorological organisation (56),"wmo +> ?""world meteorological organization"";"
Maybe,adb,asian development bank,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2024-11-20,581,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/7932562c-6814-454a-a469-d7464abedf37,competing: asian development bank (558); african development bank (23),"adb +> ?""asian development bank"";"
Maybe,bur,biennial update report,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2024-01-10,573,83,Yes,biennial update report,Matches,https://unterm.un.org/unterm2/en/view/5ea2b056-e7bf-4b80-b7f3-943e5eeb58d7,"The dictionary also has ""bur"" - check it is not a word people type. competing: biennial update report (493); biennial update reports (80)","bur +> ?""biennial update report"";"
Maybe,sdg,sustainable development goal,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-10-21,565,3,Yes,Services attached to the Directorate,Ambiguous,https://unterm.un.org/unterm2/en/view/163c5d7d-3fdb-4ce8-b7d8-8bab9257f283,competing: sustainable development goal (466); sustainable development goals (99),"sdg +> ?""sustainable development goal"";"
Maybe,ccs,carbon capture storage,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-09-18,562,7,Yes,Cargo Community System,Ambiguous,https://unterm.un.org/unterm2/en/view/b970c8e3-d36a-4925-b8c1-6a9e4fc1238c,competing: carbon capture storage (541); carbon dioxide capture storage (21),"ccs +> ?""carbon capture storage"";"
Maybe,btr,biennial transparency report,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2024-02-27,515,45,No,,,,competing: biennial transparency report (434); biennial transparency reports (81),"btr +> ?""biennial transparency report"";"
Maybe,lng,liquefied natural gas,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2025-03-05,399,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/ee5300a2-768d-4129-a45c-89553300e873,competing: liquefied natural gas (353); liquified natural gas (46),"lng +> ?""liquefied natural gas"";"
Maybe,oecd,organisation economic co operation development,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,No,2023-10-12,366,,Yes,Organisation for Economic Co-operation and Development,Matches,https://unterm.un.org/unterm2/en/view/10545bc6-77b8-4a33-a136-4a9646421711,political grouping in ISO data,"oecd +> ?""organisation economic co operation development"";"
Maybe,drr,disaster risk reduction,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-09-07,364,4,Yes,disaster risk reduction,Matches,https://unterm.un.org/unterm2/en/view/f2e31fc9-1966-4150-971c-50118dd6843c,competing: disaster risk reduction (319); deputy resident representative (45),"drr +> ?""disaster risk reduction"";"
Maybe,dac,development assistance committee,"users type it, but see the warning column",2 - Clash or unclear,Yes,No,No,2023-12-05,353,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/1f9495c3-baf8-4dfa-bc6c-5a38bafd3520,competing: development assistance committee (324); direct air capture (29),"dac +> ?""development assistance committee"";"
Maybe,nepa,national environmental policy act,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-10-22,345,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/9cb3d522-3b03-406b-9e7a-074b1accc21e,"The dictionary also has ""nepa"" - check it is not a word people type. competing: national environmental policy act (296); national environmental protection agency (49)","nepa +> ?""national environmental policy act"";"
Maybe,cra,congressional review act,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2025-10-03,342,,Yes,Chief Resident Auditor,Ambiguous,https://unterm.un.org/unterm2/en/view/1e710918-c1c0-47cc-9e7e-9ccf878a4d45,competing: congressional review act (289); climate resilient agriculture (28); climate resilient agricultural (25),"cra +> ?""congressional review act"";"
Maybe,car,cordillera administrative region,"users type it, but it is also the everyday word ""car""",2 - Clash or unclear,Yes,Yes,No,2023-11-08,322,4,Yes,Division for the Caribbean,Ambiguous,https://unterm.un.org/unterm2/en/view/ab161c23-2654-4f5c-b031-c3c8f33c18e0,Also an everyday English word. competing: cordillera administrative region (201); central african republic (121),"car +> ?""cordillera administrative region"";"
Maybe,tcfd,task force climate related financial disclosures,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-09-28,300,,Yes,Task Force on Climate-related Financial Disclosures,Matches,https://unterm.un.org/unterm2/en/view/6e5b7444-0e89-46f9-aba7-10fb988a336c,already a rule in documents.sr,"tcfd +> ?""task force climate related financial disclosures"";"
Maybe,jica,japan international cooperation agency,"users type it, but see the warning column",2 - Clash or unclear,Yes,No,Yes,2024-06-04,299,,Yes,Japan International Cooperation Agency,Matches,https://unterm.un.org/unterm2/en/view/0b0bf924-c79e-4a36-a6c7-755841f6ee6a,competing: japan international cooperation agency (270); japanese international cooperation agency (29),"jica +> ?""japan international cooperation agency"";"
Maybe,wfp,world food programme,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2024-12-06,269,2,Yes,World Food Programme,Matches,https://unterm.un.org/unterm2/en/view/b207b011-54bd-4543-8627-410ec72c67c4,competing: world food programme (243); world food program (26),"wfp +> ?""world food programme"";"
Maybe,ict,information communication technology,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,No,2024-03-08,269,,Yes,intermediate charcoal trap,Ambiguous,https://unterm.un.org/unterm2/en/view/e09c4691-567a-4140-864b-136ca5f50d84,competing: information communication technology (142); information communications technology (72); information communication technologies (55),"ict +> ?""information communication technology"";"
Maybe,cms,conservation migratory species,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,No,2026-04-02,263,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/67fdc61c-36fe-469d-a22c-2714ded9a03f,competing: conservation migratory species (219); convention migratory species (44),"cms +> ?""conservation migratory species"";"
Maybe,gggi,global green growth institute,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,No,2025-05-06,260,,Yes,Global Green Growth Institute,Matches,https://unterm.un.org/unterm2/en/view/0cede0f1-04db-4e46-a68a-5979f4575951,competing: global green growth institute (207); global gender gap index (53),"gggi +> ?""global green growth institute"";"
Maybe,pes,payment ecosystem services,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-11-21,248,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/18cdd434-2445-4e14-8155-28d4ea6676ab,"The dictionary also has ""pes"" - check it is not a word people type. competing: payment ecosystem services (125); payments ecosystem services (49); payment environmental services (45)","pes +> ?""payment ecosystem services"";"
Maybe,nccc,national climate change committee,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-11-05,236,2,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/142a45dc-e94f-4110-8ea9-faa8dac4af60,competing: national climate change committee (214); national committee climate change (22),"nccc +> ?""national climate change committee"";"
Maybe,wwf,world wildlife fund,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,No,2025-04-09,232,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/34911322-aea9-4c56-a0ca-cc3391cec91e,competing: world wildlife fund (152); world wide fund (80),"wwf +> ?""world wildlife fund"";"
Maybe,faa,funded activity agreement,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,No,2026-01-12,229,,Yes,forward assembly area,Ambiguous,https://unterm.un.org/unterm2/en/view/176ab1bd-dcb9-4af8-a4da-6c59c9a47728,competing: funded activity agreement (165); federal aviation administration (64),"faa +> ?""funded activity agreement"";"
Maybe,imo,international maritime organization,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2024-10-22,226,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/3e68cc7e-8965-4ced-a5e6-3d38277c6824,competing: international maritime organization (183); international maritime organisation (43),"imo +> ?""international maritime organization"";"
Maybe,ipp,indigenous peoples plan,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,No,2025-08-13,220,,Yes,intellectual property product,Ambiguous,https://unterm.un.org/unterm2/en/view/94db4873-d593-4e71-b5ed-f9f624eed7a7,competing: indigenous peoples plan (169); infrastructure production plan (31); independent power producer (20),"ipp +> ?""indigenous peoples plan"";"
Maybe,saf,sustainable aviation fuel,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2024-01-05,213,3,Yes,Space Agency Forum,Ambiguous,https://unterm.un.org/unterm2/en/view/a62914cc-19ba-4d75-8205-f0e516c1d5c8,competing: sustainable aviation fuel (162); sustainable aviation fuels (51),"saf +> ?""sustainable aviation fuel"";"
Maybe,ppcr,pilot program climate resilience,"users type it, but see the warning column",2 - Clash or unclear,Yes,No,Yes,2024-11-24,195,,Yes,Pilot Programme for Climate Resilience,Ambiguous,https://unterm.un.org/unterm2/en/view/9000055b-786f-4833-a8af-2f1771e7a8d3,competing: pilot program climate resilience (162); pilot programme climate resilience (33),"ppcr +> ?""pilot program climate resilience"";"
Maybe,ctf,clean technology fund,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,No,2025-10-03,180,,Yes,Coating Technical File,Ambiguous,https://unterm.un.org/unterm2/en/view/3bc37edf-df84-4811-b529-ec9a85d0c5b9,competing: clean technology fund (100); common tabular format (80),"ctf +> ?""clean technology fund"";"
Maybe,ews,early warning systems,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-11-13,175,,Yes,early warning system,Ambiguous,https://unterm.un.org/unterm2/en/view/05ea0848-699a-470b-bc0f-1af7bedff30c,competing: early warning systems (119); early warning system (56),"ews +> ?""early warning systems"";"
Maybe,esa,endangered species act,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2024-02-21,173,4,Yes,European Seed Association,Ambiguous,https://unterm.un.org/unterm2/en/view/7e0e1c84-cb12-44e5-94e0-2bc53be761ce,competing: endangered species act (140); european space agency (33),"esa +> ?""endangered species act"";"
Maybe,nccs,national climate change strategy,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-09-19,173,4,No,,,,competing: national climate change strategy (149); national climate change secretariat (24),"nccs +> ?""national climate change strategy"";"
Maybe,nbs,national biodiversity strategy,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-09-14,171,,Yes,nature-based solutions,Ambiguous,https://unterm.un.org/unterm2/en/view/cb4e9c8f-f1ca-4f8e-bd9d-84444d92ba06,competing: national biodiversity strategy (130); national bureau statistics (41),"nbs +> ?""national biodiversity strategy"";"
Maybe,ets,emissions trading system,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-09-28,169,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/09c7f8e2-d448-4f6d-a29c-1e4ce1f0ae29,competing: emissions trading system (147); emissions trading scheme (22),"ets +> ?""emissions trading system"";"
Maybe,gis,geographic information systems,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,No,2023-09-26,157,3,Yes,geographical information system,Ambiguous,https://unterm.un.org/unterm2/en/view/dcc36701-fc01-4a64-82b8-d342519721fa,competing: geographic information systems (92); geographic information system (65),"gis +> ?""geographic information systems"";"
Maybe,crt,common reporting tables,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2025-07-31,147,134,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/c71c3e64-624a-48dc-b535-fb10cb4ed1a7,competing: common reporting tables (87); common reporting table (60),"crt +> ?""common reporting tables"";"
Maybe,ira,inflation reduction act,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-09-18,145,,Yes,Immediate Response Account,Ambiguous,https://unterm.un.org/unterm2/en/view/6bd36b45-b186-4dc4-8809-d27e0cfd3891,"The dictionary also has ""ira"" - check it is not a word people type. already a rule in documents.sr","ira +> ?""inflation reduction act"";"
Maybe,cod,chemical oxygen demand,"users type it, but it is also the everyday word ""cod""",2 - Clash or unclear,Yes,Yes,No,2025-09-05,143,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/5dd3add9-d83e-4638-ae8f-0f49ddf3a356,Also an everyday English word. ISO code for Democratic Republic of Congo,"cod +> ?""chemical oxygen demand"";"
Maybe,maf,ministry agriculture fisheries,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2025-04-15,140,,Yes,Management and Accountability Framework,Ambiguous,https://unterm.un.org/unterm2/en/view/43d4432b-635f-46f0-93ad-8734d6ed2a6a,competing: ministry agriculture fisheries (108); ministry agriculture forestry (32),"maf +> ?""ministry agriculture fisheries"";"
Maybe,edf,environmental defense fund,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2025-05-13,137,,Yes,Eritrean Defence Forces,Ambiguous,https://unterm.un.org/unterm2/en/view/464f2d77-2661-4b55-8f5b-e0be07a26f2c,competing: environmental defense fund (96); european development fund (41),"edf +> ?""environmental defense fund"";"
Maybe,esd,effort sharing decision,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2024-07-25,134,,Yes,Electronic Services Division,Ambiguous,https://unterm.un.org/unterm2/en/view/349adeb4-0797-48dc-be66-f83e349e1d6a,competing: effort sharing decision (104); education sustainable development (30),"esd +> ?""effort sharing decision"";"
Maybe,csa,climate smart agriculture,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-09-19,128,3,Yes,comprehensive safeguards agreement,Ambiguous,https://unterm.un.org/unterm2/en/view/b802798c-39c5-4b46-8d2f-9313696ec79a,competing: climate smart agriculture (79); central statistical agency (28); corporate sustainability assessment (21),"csa +> ?""climate smart agriculture"";"
Maybe,smr,statutory management requirements,"users type it, but see the warning column",2 - Clash or unclear,Yes,No,No,2026-06-08,125,,Yes,Sub-Millimetre Radiometer,Ambiguous,https://unterm.un.org/unterm2/en/view/d84d8e0b-32e3-44e2-b044-9e543f95217e,ISO code for San Marino,"smr +> ?""statutory management requirements"";"
Maybe,res,renewable energy sources,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-09-19,124,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/2584ef62-0ef9-4b5c-aec6-6d8e523881b2,competing: renewable energy sources (103); regional evaluation specialist (21),"res +> ?""renewable energy sources"";"
Maybe,iwrm,integrated water resources management,"users type it, but see the warning column",2 - Clash or unclear,Yes,No,Yes,2024-07-23,112,,Yes,Institute of Water Resource Management,Ambiguous,https://unterm.un.org/unterm2/en/view/9d267bd4-79fb-4d8b-96de-c98491ed3198,competing: integrated water resources management (86); integrated water resource management (26),"iwrm +> ?""integrated water resources management"";"
Maybe,fip,forest investment program,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,No,2024-10-21,107,,Yes,Forest Investment Programme,Ambiguous,https://unterm.un.org/unterm2/en/view/5f421b0a-99f3-4f7b-88d0-dd804b125d93,"The dictionary also has ""fip"" - check it is not a word people type. competing: forest investment program (73); federal implementation plan (34)","fip +> ?""forest investment program"";"
Maybe,leds,low emissions development strategy,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2024-02-07,103,2,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/cfd2d201-5d5a-4c05-8b34-dc80f2048614,"The dictionary also has ""led"" - check it is not a word people type. competing: low emissions development strategy (61); low emission development strategy (42)","leds +> ?""low emissions development strategy"";"
Maybe,oep,office environmental protection,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2025-01-06,100,,Yes,European Observatory for Plurilingualism,Ambiguous,https://unterm.un.org/unterm2/en/view/dd89b329-7b34-4523-ae32-89339cb82994,competing: office environmental protection (72); office energy projects (28),"oep +> ?""office environmental protection"";"
Maybe,meps,minimum energy performance standards,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2024-07-26,92,6,Yes,minimum energy performance standards,Matches,https://unterm.un.org/unterm2/en/view/29377ea1-f047-4c52-a79e-0489725a0e23,competing: minimum energy performance standards (65); minimum energy performance standard (27),"meps +> ?""minimum energy performance standards"";"
Maybe,serac,social economic rights action center,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2025-12-14,86,,No,,,,competing: social economic rights action center (44); social economic rights action centre (42),"serac +> ?""social economic rights action center"";"
Maybe,bess,battery energy storage system,"users type it, but see the warning column",2 - Clash or unclear,Yes,No,No,2023-12-22,81,1,No,,,,"The dictionary also has ""bess"" - check it is not a word people type. competing: battery energy storage system (51); battery energy storage systems (30)","bess +> ?""battery energy storage system"";"
Maybe,necp,national energy climate plan,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-09-19,77,106,No,,,,already a rule in documents.sr,"necp +> ?""national energy climate plan"";"
Maybe,ptc,project technical coordinator,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,No,2024-04-06,65,,Yes,Pacific Telecommunications Council,Ambiguous,https://unterm.un.org/unterm2/en/view/5e76c3ea-2909-49c5-9446-31947291369b,competing: project technical coordinator (45); project technical committee (20),"ptc +> ?""project technical coordinator"";"
Maybe,rmi,rocky mountain institute,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2024-03-21,62,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/35cb6f13-5317-4309-ab3b-40f68cd07a7b,competing: rocky mountain institute (42); republic marshall islands (20),"rmi +> ?""rocky mountain institute"";"
Maybe,png,papua new guinea,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-09-17,61,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/ace5ecee-8e91-4489-87f3-6276e45df593,ISO code for Papua New Guinea,"png +> ?""papua new guinea"";"
Maybe,spcr,strategic programme climate resilience,"users type it, but see the warning column",2 - Clash or unclear,Yes,No,No,2025-05-25,61,,No,,,,competing: strategic programme climate resilience (34); strategic program climate resilience (27),"spcr +> ?""strategic programme climate resilience"";"
Maybe,ems,environmental management system,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2024-08-07,60,,Yes,electromyostimulation,Ambiguous,https://unterm.un.org/unterm2/en/view/4aec57ce-e206-43f8-b10f-97902c95fca4,competing: environmental management system (36); energy management system (24),"ems +> ?""environmental management system"";"
Maybe,ccc,climate change commission,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2024-01-19,57,,Yes,Caribbean Conference of Churches,Ambiguous,https://unterm.un.org/unterm2/en/view/d778211d-0cd5-41cd-8575-afa71ccf376e,competing: climate change commission (32); climate change committee (25),"ccc +> ?""climate change commission"";"
Maybe,abs,access benefit sharing,"users type it, but it is also the everyday word ""abs""",2 - Clash or unclear,Yes,Yes,Yes,2024-02-01,52,,Yes,access and benefit-sharing,Matches,https://unterm.un.org/unterm2/en/view/1451bbd3-812c-40e1-aab8-20a7257bf7a5,Also an everyday English word. competing: access benefit sharing (29); access benefit sharing scheme (23),"abs +> ?""access benefit sharing"";"
Maybe,pac,protected areas commission,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,No,2025-06-09,50,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/f836b66c-09ac-4057-80aa-e4604854df3e,"The dictionary also has ""pac"" - check it is not a word people type. competing: protected areas commission (28); project advisory committee (22)","pac +> ?""protected areas commission"";"
Maybe,ges,government economic service,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,No,2024-01-17,50,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/015f709f-7bb8-41fb-9b1f-2ab9c1b8cc7f,"The dictionary also has ""ges"" - check it is not a word people type. competing: government economic service (27); good environmental status (23)","ges +> ?""government economic service"";"
Maybe,fca,fiat chrysler automobiles,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,No,2023-10-30,48,,Yes,Federal Customs Authority,Ambiguous,https://unterm.un.org/unterm2/en/view/953957fb-a488-4fa7-a3b3-9f43e6375fa5,already a rule in documents.sr,"fca +> ?""fiat chrysler automobiles"";"
Maybe,ccu,climate change unit,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2024-04-02,44,,Yes,Central Coordinating Unit,Ambiguous,https://unterm.un.org/unterm2/en/view/c5b2b647-f7e5-48dc-b443-38789e414bed,competing: climate change unit (24); carbon capture utilization (20),"ccu +> ?""climate change unit"";"
Maybe,fda,forestry development authority,"users type it, but see the warning column",2 - Clash or unclear,Yes,No,No,2026-01-02,44,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/355ec404-90df-4607-b272-f406a4b9b7bb,competing: forestry development authority (22); food drug administration (22),"fda +> ?""forestry development authority"";"
Maybe,lca,life cycle assessment,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-09-27,33,,Yes,Legal Counsel and Administration,Ambiguous,https://unterm.un.org/unterm2/en/view/28de50c5-0977-4adc-9251-34a3b2def2a6,ISO code for Saint Lucia,"lca +> ?""life cycle assessment"";"
Maybe,usa,united states america,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2023-09-21,32,,No,,,,geo synonym -> united states,"usa +> ?""united states america"";"
Maybe,fra,forest resources assessment,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,No,2024-12-19,25,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/f151206a-a637-4735-a210-c8c5c0bc1abf,"The dictionary also has ""fra"" - check it is not a word people type. ISO code for France","fra +> ?""forest resources assessment"";"
Maybe,can,calcium ammonium nitrate,"users type it, but it is also the everyday word ""can""",2 - Clash or unclear,Yes,Yes,No,2023-11-23,24,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/b32afeda-9f5e-4fec-bf86-c720fdc18bb1,Also an everyday English word. ISO code for Canada,"can +> ?""calcium ammonium nitrate"";"
Maybe,sgp,small grants programme,"users type it, but see the warning column",2 - Clash or unclear,Yes,No,No,2025-11-17,22,,Yes,Senior Politico-Military Group on Proliferation,Ambiguous,https://unterm.un.org/unterm2/en/view/da8633b4-a1e6-43eb-a90a-fe139c23d0fc,ISO code for Singapore,"sgp +> ?""small grants programme"";"
Maybe,gga,global goal adaptation,"users type it, but see the warning column",2 - Clash or unclear,Yes,Yes,Yes,2024-03-25,21,,No,,,,already a rule in passages.sr,"gga +> ?""global goal adaptation"";"
Maybe,apr,annual performance report,only seen inside longer searches,2 - Clash or unclear,No,Yes,Yes,2024-11-29,5860,,Yes,Automated Position Reporting,Ambiguous,https://unterm.un.org/unterm2/en/view/6670ef56-e6e7-489f-b522-f2e96ab5c7d2,competing: annual performance report (5798); annual project report (62),"apr +> ?""annual performance report"";"
Maybe,gwp,global warming potential,only seen inside longer searches,2 - Clash or unclear,No,Yes,No,2025-04-09,1377,,Yes,Global Water Partnership,Ambiguous,https://unterm.un.org/unterm2/en/view/30ba9aa8-9668-4e85-9eab-45e3a369f13f,competing: global warming potential (1193); global warming potentials (161); global water partnership (23),"gwp +> ?""global warming potential"";"
Maybe,ess,environmental social safeguard,"only the long name was searched, not the acronym",2 - Clash or unclear,No,No,Yes,2024-08-07,864,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/88567871-1709-4552-8474-7092a42b421b,"The dictionary also has ""ess"" - check it is not a word people type. competing: environmental social safeguard (612); environmental social safeguards (232); environmentally sensitive species (20)","ess +> ?""environmental social safeguard"";"
